King Marco [h: 1.09, p: 11.0]
		Peasant Lord Christian's peasant #15 [h: 2.19, p: -0.15]
		Peasant Lord Christian's peasant #18 [h: 2.36, p: 1.41]
		Peasant Lord Christian's peasant #21 [h: 0.85, p: 1.19]
☠	Lord Marco [h: 0.0, p: 19.44]
		Knight Anthony [h: 4.44, p: 0.51]
		Peasant Lord Marco's peasant #7 [h: 4.28, p: -1.31]
		Peasant Lord Marco's peasant #10 [h: 3.52, p: -0.13]
		Peasant Lord Marco's peasant #13 [h: 2.43, p: 0.28]
		Peasant Lord Marco's peasant #16 [h: 1.19, p: 0.59]
		Peasant Lord Marco's peasant #19 [h: 0.79, p: 1.85]
		Peasant Lord Marco's peasant #22 [h: 0.95, p: 2.63]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 5.23, p: 5.16]
		Peasant Wizard Jasper's peasant #11 [h: 4.02, p: 6.16]
		Peasant Wizard Jasper's peasant #14 [h: 3.09, p: 7.16]
		Peasant Wizard Jasper's peasant #17 [h: 2.38, p: 8.16]
		Peasant Wizard Jasper's peasant #20 [h: 1.83, p: 9.16]
		Knight Promoted #8 [h: 0.6, p: 6.0]
		Peasant Wizard Jasper's peasant #23 [h: 1.41, p: 10.16]
		Knight Promoted #11 [h: 0.66, p: 6.0]

King Marco [h: 0.58, p: 29.0]
☠	Lord Christian [h: 0.0, p: 24.44]
		Knight Larry [h: 3.96, p: -1.86]
		Peasant Lord Christian's peasant #6 [h: 4.84, p: -2.99]
		Peasant Lord Christian's peasant #9 [h: 4.28, p: -2.83]
		Peasant Lord Christian's peasant #12 [h: 2.8, p: -1.5]
		Peasant Lord Christian's peasant #15 [h: 2.19, p: -0.15]
		Peasant Lord Christian's peasant #18 [h: 2.36, p: 1.41]
		Peasant Lord Christian's peasant #21 [h: 0.85, p: 1.19]
		Peasant Lord Christian's peasant #24 [h: 1.74, p: 1.43]
☠	Lord Marco [h: 0.0, p: 19.44]
		Knight Anthony [h: 4.44, p: 0.51]
		Peasant Lord Marco's peasant #7 [h: 4.28, p: -1.31]
		Peasant Lord Marco's peasant #10 [h: 3.52, p: -0.13]
		Peasant Lord Marco's peasant #13 [h: 2.43, p: 0.28]
		Peasant Lord Marco's peasant #16 [h: 1.19, p: 0.59]
		Peasant Lord Marco's peasant #19 [h: 0.79, p: 1.85]
		Peasant Lord Marco's peasant #22 [h: 0.95, p: 2.63]
		Peasant Lord Marco's peasant #25 [h: 1.01, p: 2.85]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 6.79, p: 4.16]
		Peasant Wizard Jasper's peasant #11 [h: 5.23, p: 5.16]
		Peasant Wizard Jasper's peasant #14 [h: 4.02, p: 6.16]
		Peasant Wizard Jasper's peasant #17 [h: 3.09, p: 7.16]
		Peasant Wizard Jasper's peasant #20 [h: 2.38, p: 8.16]
		Knight Promoted #8 [h: 0.78, p: 5.0]
		Peasant Wizard Jasper's peasant #23 [h: 1.83, p: 9.16]
		Knight Promoted #11 [h: 0.85, p: 5.0]
		Peasant Wizard Jasper's peasant #26 [h: 1.41, p: 10.16]
		Knight Promoted #14 [h: 0.43, p: 8.0]

King Marco [h: 0.57, p: 32.0]
☠	Lord Christian [h: 0.0, p: 24.44]
		Knight Larry [h: 3.96, p: -1.86]
		Peasant Lord Christian's peasant #6 [h: 4.84, p: -2.99]
		Peasant Lord Christian's peasant #9 [h: 4.28, p: -2.83]
		Peasant Lord Christian's peasant #12 [h: 2.8, p: -1.5]
		Peasant Lord Christian's peasant #15 [h: 2.19, p: -0.15]
		Peasant Lord Christian's peasant #18 [h: 2.36, p: 1.41]
		Peasant Lord Christian's peasant #21 [h: 0.85, p: 1.19]
		Peasant Lord Christian's peasant #24 [h: 1.74, p: 1.43]
		Peasant Lord Christian's peasant #27 [h: 1.19, p: 2.12]
☠	Lord Marco [h: 0.0, p: 19.44]
		Knight Anthony [h: 4.44, p: 0.51]
		Peasant Lord Marco's peasant #7 [h: 4.28, p: -1.31]
		Peasant Lord Marco's peasant #10 [h: 3.52, p: -0.13]
		Peasant Lord Marco's peasant #13 [h: 2.43, p: 0.28]
		Peasant Lord Marco's peasant #16 [h: 1.19, p: 0.59]
		Peasant Lord Marco's peasant #19 [h: 0.79, p: 1.85]
		Peasant Lord Marco's peasant #22 [h: 0.95, p: 2.63]
		Peasant Lord Marco's peasant #25 [h: 1.01, p: 2.85]
		Peasant Lord Marco's peasant #28 [h: 1.43, p: 1.57]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 8.83, p: 3.16]
		Peasant Wizard Jasper's peasant #11 [h: 6.79, p: 4.16]
		Peasant Wizard Jasper's peasant #14 [h: 5.23, p: 5.16]
		Peasant Wizard Jasper's peasant #17 [h: 4.02, p: 6.16]
		Peasant Wizard Jasper's peasant #20 [h: 3.09, p: 7.16]
		Knight Promoted #8 [h: 1.01, p: 4.0]
		Peasant Wizard Jasper's peasant #23 [h: 2.38, p: 8.16]
		Knight Promoted #11 [h: 1.11, p: 4.0]
		Peasant Wizard Jasper's peasant #26 [h: 1.83, p: 9.16]
		Knight Promoted #14 [h: 0.56, p: 7.0]
		Peasant Wizard Jasper's peasant #29 [h: 1.41, p: 10.16]
		Knight Promoted #17 [h: 0.49, p: 6.0]

King Marco [h: 0.56, p: 35.0]
☠	Lord Christian [h: 0.0, p: 24.44]
		Knight Larry [h: 3.96, p: -1.86]
		Peasant Lord Christian's peasant #6 [h: 4.84, p: -2.99]
		Peasant Lord Christian's peasant #9 [h: 4.28, p: -2.83]
		Peasant Lord Christian's peasant #12 [h: 2.8, p: -1.5]
		Peasant Lord Christian's peasant #15 [h: 2.19, p: -0.15]
		Peasant Lord Christian's peasant #18 [h: 2.36, p: 1.41]
		Peasant Lord Christian's peasant #21 [h: 0.85, p: 1.19]
		Peasant Lord Christian's peasant #24 [h: 1.74, p: 1.43]
		Peasant Lord Christian's peasant #27 [h: 1.19, p: 2.12]
		Peasant Lord Christian's peasant #30 [h: 0.73, p: 2.68]
☠	Lord Marco [h: 0.0, p: 19.44]
		Knight Anthony [h: 4.44, p: 0.51]
		Peasant Lord Marco's peasant #7 [h: 4.28, p: -1.31]
		Peasant Lord Marco's peasant #10 [h: 3.52, p: -0.13]
		Peasant Lord Marco's peasant #13 [h: 2.43, p: 0.28]
		Peasant Lord Marco's peasant #16 [h: 1.19, p: 0.59]
		Peasant Lord Marco's peasant #19 [h: 0.79, p: 1.85]
		Peasant Lord Marco's peasant #22 [h: 0.95, p: 2.63]
		Peasant Lord Marco's peasant #25 [h: 1.01, p: 2.85]
		Peasant Lord Marco's peasant #28 [h: 1.43, p: 1.57]
		Peasant Lord Marco's peasant #31 [h: 0.77, p: 2.75]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 11.48, p: 2.16]
		Peasant Wizard Jasper's peasant #11 [h: 8.83, p: 3.16]
		Peasant Wizard Jasper's peasant #14 [h: 6.79, p: 4.16]
		Peasant Wizard Jasper's peasant #17 [h: 5.23, p: 5.16]
		Peasant Wizard Jasper's peasant #20 [h: 4.02, p: 6.16]
		Knight Promoted #8 [h: 1.31, p: 3.0]
		Peasant Wizard Jasper's peasant #23 [h: 3.09, p: 7.16]
		Knight Promoted #11 [h: 1.44, p: 3.0]
		Peasant Wizard Jasper's peasant #26 [h: 2.38, p: 8.16]
		Knight Promoted #14 [h: 0.73, p: 6.0]
		Peasant Wizard Jasper's peasant #29 [h: 1.83, p: 9.16]
		Knight Promoted #17 [h: 0.63, p: 5.0]
		Peasant Wizard Jasper's peasant #32 [h: 1.41, p: 10.16]
		Knight Promoted #20 [h: 0.72, p: 5.0]

King Marco [h: 0.55, p: 38.0]
☠	Lord Christian [h: 0.0, p: 24.44]
		Knight Larry [h: 3.96, p: -1.86]
		Peasant Lord Christian's peasant #6 [h: 4.84, p: -2.99]
		Peasant Lord Christian's peasant #9 [h: 4.28, p: -2.83]
		Peasant Lord Christian's peasant #12 [h: 2.8, p: -1.5]
		Peasant Lord Christian's peasant #15 [h: 2.19, p: -0.15]
		Peasant Lord Christian's peasant #18 [h: 2.36, p: 1.41]
		Peasant Lord Christian's peasant #21 [h: 0.85, p: 1.19]
		Peasant Lord Christian's peasant #24 [h: 1.74, p: 1.43]
		Peasant Lord Christian's peasant #27 [h: 1.19, p: 2.12]
		Peasant Lord Christian's peasant #30 [h: 0.73, p: 2.68]
		Peasant Lord Christian's peasant #33 [h: 1.87, p: 2.7]
☠	Lord Marco [h: 0.0, p: 19.44]
		Knight Anthony [h: 4.44, p: 0.51]
		Peasant Lord Marco's peasant #7 [h: 4.28, p: -1.31]
		Peasant Lord Marco's peasant #10 [h: 3.52, p: -0.13]
		Peasant Lord Marco's peasant #13 [h: 2.43, p: 0.28]
		Peasant Lord Marco's peasant #16 [h: 1.19, p: 0.59]
		Peasant Lord Marco's peasant #19 [h: 0.79, p: 1.85]
		Peasant Lord Marco's peasant #22 [h: 0.95, p: 2.63]
		Peasant Lord Marco's peasant #25 [h: 1.01, p: 2.85]
		Peasant Lord Marco's peasant #28 [h: 1.43, p: 1.57]
		Peasant Lord Marco's peasant #31 [h: 0.77, p: 2.75]
		Peasant Lord Marco's peasant #34 [h: 0.73, p: 1.64]
	Wizard Jasper [h: 1.51, p: 9.16]
		Peasant Wizard Jasper's peasant #8 [h: 14.93, p: 1.16]
		Peasant Wizard Jasper's peasant #11 [h: 11.48, p: 2.16]
		Peasant Wizard Jasper's peasant #14 [h: 8.83, p: 3.16]
		Peasant Wizard Jasper's peasant #17 [h: 6.79, p: 4.16]
		Peasant Wizard Jasper's peasant #20 [h: 5.23, p: 5.16]
		Knight Promoted #8 [h: 1.7, p: 2.0]
		Peasant Wizard Jasper's peasant #23 [h: 4.02, p: 6.16]
		Knight Promoted #11 [h: 1.88, p: 2.0]
		Peasant Wizard Jasper's peasant #26 [h: 3.09, p: 7.16]
		Knight Promoted #14 [h: 0.95, p: 5.0]
		Peasant Wizard Jasper's peasant #29 [h: 2.38, p: 8.16]
		Knight Promoted #17 [h: 0.82, p: 4.0]
		Peasant Wizard Jasper's peasant #32 [h: 1.83, p: 9.16]
		Knight Promoted #20 [h: 0.93, p: 4.0]
		Peasant Wizard Jasper's peasant #35 [h: 1.41, p: 10.16]
		Knight Promoted #23 [h: 0.75, p: 4.0]


