King Louis [h: 1.1, p: 12.75]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 3.66, p: 4.11]
		Peasant Wizard Bruce's peasant #11 [h: 2.81, p: 5.11]
		Peasant Wizard Bruce's peasant #14 [h: 2.16, p: 6.11]
		Peasant Wizard Bruce's peasant #17 [h: 1.66, p: 7.11]
		Peasant Wizard Bruce's peasant #20 [h: 1.28, p: 8.11]
		Knight Promoted #8 [h: 0.46, p: 3.0]
		Peasant Wizard Bruce's peasant #23 [h: 0.98, p: 9.11]
		Knight Promoted #11 [h: 0.84, p: 5.0]

King Louis [h: 0.58, p: 30.75]
☠	Lord George [h: 0.0, p: 26.77]
		Peasant Lord George's peasant #6 [h: 8.28, p: -3.16]
		Peasant Lord George's peasant #9 [h: 5.26, p: -3.29]
		Peasant Lord George's peasant #12 [h: 2.46, p: -1.26]
		Peasant Lord George's peasant #15 [h: 2.26, p: -1.05]
		Peasant Lord George's peasant #18 [h: 3.0, p: 0.74]
		Peasant Lord George's peasant #21 [h: 0.97, p: 0.63]
		Peasant Lord George's peasant #24 [h: 1.73, p: 1.49]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
		Peasant Lord Anthony's peasant #16 [h: 1.24, p: 2.12]
		Peasant Lord Anthony's peasant #19 [h: 1.79, p: 2.31]
		Peasant Lord Anthony's peasant #22 [h: 1.13, p: 1.68]
		Peasant Lord Anthony's peasant #25 [h: 0.84, p: 1.53]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 4.75, p: 3.11]
		Peasant Wizard Bruce's peasant #11 [h: 3.66, p: 4.11]
		Peasant Wizard Bruce's peasant #14 [h: 2.81, p: 5.11]
		Peasant Wizard Bruce's peasant #17 [h: 2.16, p: 6.11]
		Peasant Wizard Bruce's peasant #20 [h: 1.66, p: 7.11]
		Knight Promoted #8 [h: 0.59, p: 2.0]
		Peasant Wizard Bruce's peasant #23 [h: 1.28, p: 8.11]
		Knight Promoted #11 [h: 1.09, p: 4.0]
		Peasant Wizard Bruce's peasant #26 [h: 0.98, p: 9.11]
		Knight Promoted #14 [h: 0.35, p: 8.0]

King Louis [h: 0.57, p: 33.75]
☠	Lord George [h: 0.0, p: 26.77]
		Peasant Lord George's peasant #6 [h: 8.28, p: -3.16]
		Peasant Lord George's peasant #9 [h: 5.26, p: -3.29]
		Peasant Lord George's peasant #12 [h: 2.46, p: -1.26]
		Peasant Lord George's peasant #15 [h: 2.26, p: -1.05]
		Peasant Lord George's peasant #18 [h: 3.0, p: 0.74]
		Peasant Lord George's peasant #21 [h: 0.97, p: 0.63]
		Peasant Lord George's peasant #24 [h: 1.73, p: 1.49]
		Peasant Lord George's peasant #27 [h: 1.67, p: 1.74]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
		Peasant Lord Anthony's peasant #16 [h: 1.24, p: 2.12]
		Peasant Lord Anthony's peasant #19 [h: 1.79, p: 2.31]
		Peasant Lord Anthony's peasant #22 [h: 1.13, p: 1.68]
		Peasant Lord Anthony's peasant #25 [h: 0.84, p: 1.53]
		Peasant Lord Anthony's peasant #28 [h: 0.81, p: 1.08]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 6.18, p: 2.11]
		Peasant Wizard Bruce's peasant #11 [h: 4.75, p: 3.11]
		Peasant Wizard Bruce's peasant #14 [h: 3.66, p: 4.11]
		Peasant Wizard Bruce's peasant #17 [h: 2.81, p: 5.11]
		Peasant Wizard Bruce's peasant #20 [h: 2.16, p: 6.11]
		Knight Promoted #8 [h: 0.77, p: 1.0]
		Peasant Wizard Bruce's peasant #23 [h: 1.66, p: 7.11]
		Knight Promoted #11 [h: 1.41, p: 3.0]
		Peasant Wizard Bruce's peasant #26 [h: 1.28, p: 8.11]
		Knight Promoted #14 [h: 0.46, p: 7.0]
		Peasant Wizard Bruce's peasant #29 [h: 0.98, p: 9.11]
		Knight Promoted #17 [h: 0.56, p: 5.0]

King Louis [h: 0.56, p: 36.75]
☠	Lord George [h: 0.0, p: 26.77]
		Peasant Lord George's peasant #6 [h: 8.28, p: -3.16]
		Peasant Lord George's peasant #9 [h: 5.26, p: -3.29]
		Peasant Lord George's peasant #12 [h: 2.46, p: -1.26]
		Peasant Lord George's peasant #15 [h: 2.26, p: -1.05]
		Peasant Lord George's peasant #18 [h: 3.0, p: 0.74]
		Peasant Lord George's peasant #21 [h: 0.97, p: 0.63]
		Peasant Lord George's peasant #24 [h: 1.73, p: 1.49]
		Peasant Lord George's peasant #27 [h: 1.67, p: 1.74]
		Peasant Lord George's peasant #30 [h: 1.71, p: 2.56]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
		Peasant Lord Anthony's peasant #16 [h: 1.24, p: 2.12]
		Peasant Lord Anthony's peasant #19 [h: 1.79, p: 2.31]
		Peasant Lord Anthony's peasant #22 [h: 1.13, p: 1.68]
		Peasant Lord Anthony's peasant #25 [h: 0.84, p: 1.53]
		Peasant Lord Anthony's peasant #28 [h: 0.81, p: 1.08]
		Peasant Lord Anthony's peasant #31 [h: 0.75, p: 2.98]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 8.03, p: 1.11]
		Peasant Wizard Bruce's peasant #11 [h: 6.18, p: 2.11]
		Peasant Wizard Bruce's peasant #14 [h: 4.75, p: 3.11]
		Peasant Wizard Bruce's peasant #17 [h: 3.66, p: 4.11]
		Peasant Wizard Bruce's peasant #20 [h: 2.81, p: 5.11]
		Knight Promoted #8 [h: 1.0, p: 0.0]
		Peasant Wizard Bruce's peasant #23 [h: 2.16, p: 6.11]
		Knight Promoted #11 [h: 1.84, p: 2.0]
		Peasant Wizard Bruce's peasant #26 [h: 1.66, p: 7.11]
		Knight Promoted #14 [h: 0.6, p: 6.0]
		Peasant Wizard Bruce's peasant #29 [h: 1.28, p: 8.11]
		Knight Promoted #17 [h: 0.73, p: 4.0]
		Peasant Wizard Bruce's peasant #32 [h: 0.98, p: 9.11]
		Knight Promoted #20 [h: 0.88, p: 6.0]

King Louis [h: 0.55, p: 39.75]
☠	Lord George [h: 0.0, p: 26.77]
		Peasant Lord George's peasant #6 [h: 8.28, p: -3.16]
		Peasant Lord George's peasant #9 [h: 5.26, p: -3.29]
		Peasant Lord George's peasant #12 [h: 2.46, p: -1.26]
		Peasant Lord George's peasant #15 [h: 2.26, p: -1.05]
		Peasant Lord George's peasant #18 [h: 3.0, p: 0.74]
		Peasant Lord George's peasant #21 [h: 0.97, p: 0.63]
		Peasant Lord George's peasant #24 [h: 1.73, p: 1.49]
		Peasant Lord George's peasant #27 [h: 1.67, p: 1.74]
		Peasant Lord George's peasant #30 [h: 1.71, p: 2.56]
		Peasant Lord George's peasant #33 [h: 1.25, p: 2.11]
☠	Lord Anthony [h: 0.0, p: 12.54]
		Knight Raymond [h: 1.12, p: 2.73]
		Knight Bruce [h: 3.31, p: 2.52]
		Peasant Lord Anthony's peasant #7 [h: 2.27, p: -0.53]
		Peasant Lord Anthony's peasant #10 [h: 2.1, p: 0.59]
		Peasant Lord Anthony's peasant #13 [h: 1.72, p: 2.79]
		Peasant Lord Anthony's peasant #16 [h: 1.24, p: 2.12]
		Peasant Lord Anthony's peasant #19 [h: 1.79, p: 2.31]
		Peasant Lord Anthony's peasant #22 [h: 1.13, p: 1.68]
		Peasant Lord Anthony's peasant #25 [h: 0.84, p: 1.53]
		Peasant Lord Anthony's peasant #28 [h: 0.81, p: 1.08]
		Peasant Lord Anthony's peasant #31 [h: 0.75, p: 2.98]
		Peasant Lord Anthony's peasant #34 [h: 1.15, p: 1.46]
	Wizard Bruce [h: 1.08, p: 8.11]
		Peasant Wizard Bruce's peasant #8 [h: 10.44, p: 0.11]
		Peasant Wizard Bruce's peasant #11 [h: 8.03, p: 1.11]
		Peasant Wizard Bruce's peasant #14 [h: 6.18, p: 2.11]
		Peasant Wizard Bruce's peasant #17 [h: 4.75, p: 3.11]
		Peasant Wizard Bruce's peasant #20 [h: 3.66, p: 4.11]
		Knight Promoted #8 [h: 1.31, p: -1.0]
		Peasant Wizard Bruce's peasant #23 [h: 2.81, p: 5.11]
		Knight Promoted #11 [h: 2.39, p: 1.0]
		Peasant Wizard Bruce's peasant #26 [h: 2.16, p: 6.11]
		Knight Promoted #14 [h: 0.78, p: 5.0]
		Peasant Wizard Bruce's peasant #29 [h: 1.66, p: 7.11]
		Knight Promoted #17 [h: 0.95, p: 3.0]
		Peasant Wizard Bruce's peasant #32 [h: 1.28, p: 8.11]
		Knight Promoted #20 [h: 1.15, p: 5.0]
		Peasant Wizard Bruce's peasant #35 [h: 0.98, p: 9.11]
		Knight Promoted #23 [h: 0.59, p: 6.0]


