King Robert [h: 0.62, p: 13.4]
		Peasant Lord Frederick's peasant #9 [h: 1.18, p: 0.53]
		Peasant Lord Frederick's peasant #12 [h: 2.29, p: 0.06]
		Peasant Lord Frederick's peasant #15 [h: 0.72, p: 1.26]
	Lord Louis [h: 0.25, p: 15.8]
		Knight Marco [h: 2.69, p: 1.99]
		Peasant Lord Louis's peasant #7 [h: 3.2, p: -0.84]
		Peasant Lord Louis's peasant #10 [h: 2.7, p: 0.78]
		Peasant Lord Louis's peasant #13 [h: 1.52, p: 1.59]
		Peasant Lord Louis's peasant #16 [h: 1.52, p: 2.14]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 3.0, p: 8.1]
		Peasant Wizard Fred's peasant #11 [h: 2.31, p: 9.1]
		Peasant Wizard Fred's peasant #14 [h: 1.78, p: 10.1]
		Peasant Wizard Fred's peasant #17 [h: 1.37, p: 11.1]

King Robert [h: 0.56, p: 25.4]
	Lord Frederick [h: 0.29, p: 20.23]
		Knight William [h: 1.97, p: -0.62]
		Peasant Lord Frederick's peasant #6 [h: 4.34, p: -1.85]
		Peasant Lord Frederick's peasant #9 [h: 1.54, p: -0.47]
		Peasant Lord Frederick's peasant #12 [h: 2.97, p: -0.94]
		Peasant Lord Frederick's peasant #15 [h: 0.93, p: 0.26]
		Peasant Lord Frederick's peasant #18 [h: 1.23, p: 1.09]
☠	Lord Louis [h: 0.0, p: 20.8]
		Knight Marco [h: 3.5, p: 0.99]
		Peasant Lord Louis's peasant #7 [h: 4.16, p: -1.84]
		Peasant Lord Louis's peasant #10 [h: 3.51, p: -0.22]
		Peasant Lord Louis's peasant #13 [h: 1.98, p: 0.59]
		Peasant Lord Louis's peasant #16 [h: 1.98, p: 1.14]
		Peasant Lord Louis's peasant #19 [h: 0.7, p: 2.17]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 3.9, p: 7.1]
		Peasant Wizard Fred's peasant #11 [h: 3.0, p: 8.1]
		Peasant Wizard Fred's peasant #14 [h: 2.31, p: 9.1]
		Peasant Wizard Fred's peasant #17 [h: 1.78, p: 10.1]
		Peasant Wizard Fred's peasant #20 [h: 1.37, p: 11.1]
		Knight Promoted #8 [h: 0.74, p: 6.0]

King Robert [h: 0.55, p: 28.4]
☠	Lord Frederick [h: 0.0, p: 26.23]
		Knight William [h: 2.57, p: -1.62]
		Peasant Lord Frederick's peasant #6 [h: 5.64, p: -2.85]
		Peasant Lord Frederick's peasant #9 [h: 2.0, p: -1.47]
		Peasant Lord Frederick's peasant #12 [h: 3.87, p: -1.94]
		Peasant Lord Frederick's peasant #15 [h: 1.21, p: -0.74]
		Peasant Lord Frederick's peasant #18 [h: 1.6, p: 0.09]
		Peasant Lord Frederick's peasant #21 [h: 0.86, p: 1.08]
☠	Lord Louis [h: 0.0, p: 20.8]
		Knight Marco [h: 3.5, p: 0.99]
		Peasant Lord Louis's peasant #7 [h: 4.16, p: -1.84]
		Peasant Lord Louis's peasant #10 [h: 3.51, p: -0.22]
		Peasant Lord Louis's peasant #13 [h: 1.98, p: 0.59]
		Peasant Lord Louis's peasant #16 [h: 1.98, p: 1.14]
		Peasant Lord Louis's peasant #19 [h: 0.7, p: 2.17]
		Peasant Lord Louis's peasant #22 [h: 1.58, p: 1.82]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 5.07, p: 6.1]
		Peasant Wizard Fred's peasant #11 [h: 3.9, p: 7.1]
		Peasant Wizard Fred's peasant #14 [h: 3.0, p: 8.1]
		Peasant Wizard Fred's peasant #17 [h: 2.31, p: 9.1]
		Peasant Wizard Fred's peasant #20 [h: 1.78, p: 10.1]
		Knight Promoted #8 [h: 0.96, p: 5.0]
		Peasant Wizard Fred's peasant #23 [h: 1.37, p: 11.1]
		Knight Promoted #11 [h: 0.79, p: 4.0]

King Robert [h: 0.55, p: 31.4]
☠	Lord Frederick [h: 0.0, p: 26.23]
		Knight William [h: 2.57, p: -1.62]
		Peasant Lord Frederick's peasant #6 [h: 5.64, p: -2.85]
		Peasant Lord Frederick's peasant #9 [h: 2.0, p: -1.47]
		Peasant Lord Frederick's peasant #12 [h: 3.87, p: -1.94]
		Peasant Lord Frederick's peasant #15 [h: 1.21, p: -0.74]
		Peasant Lord Frederick's peasant #18 [h: 1.6, p: 0.09]
		Peasant Lord Frederick's peasant #21 [h: 0.86, p: 1.08]
		Peasant Lord Frederick's peasant #24 [h: 1.34, p: 2.51]
☠	Lord Louis [h: 0.0, p: 20.8]
		Knight Marco [h: 3.5, p: 0.99]
		Peasant Lord Louis's peasant #7 [h: 4.16, p: -1.84]
		Peasant Lord Louis's peasant #10 [h: 3.51, p: -0.22]
		Peasant Lord Louis's peasant #13 [h: 1.98, p: 0.59]
		Peasant Lord Louis's peasant #16 [h: 1.98, p: 1.14]
		Peasant Lord Louis's peasant #19 [h: 0.7, p: 2.17]
		Peasant Lord Louis's peasant #22 [h: 1.58, p: 1.82]
		Peasant Lord Louis's peasant #25 [h: 1.16, p: 2.14]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 6.59, p: 5.1]
		Peasant Wizard Fred's peasant #11 [h: 5.07, p: 6.1]
		Peasant Wizard Fred's peasant #14 [h: 3.9, p: 7.1]
		Peasant Wizard Fred's peasant #17 [h: 3.0, p: 8.1]
		Peasant Wizard Fred's peasant #20 [h: 2.31, p: 9.1]
		Knight Promoted #8 [h: 1.25, p: 4.0]
		Peasant Wizard Fred's peasant #23 [h: 1.78, p: 10.1]
		Knight Promoted #11 [h: 1.03, p: 3.0]
		Peasant Wizard Fred's peasant #26 [h: 1.37, p: 11.1]
		Knight Promoted #14 [h: 0.73, p: 7.0]

King Robert [h: 0.55, p: 34.4]
☠	Lord Frederick [h: 0.0, p: 26.23]
		Knight William [h: 2.57, p: -1.62]
		Peasant Lord Frederick's peasant #6 [h: 5.64, p: -2.85]
		Peasant Lord Frederick's peasant #9 [h: 2.0, p: -1.47]
		Peasant Lord Frederick's peasant #12 [h: 3.87, p: -1.94]
		Peasant Lord Frederick's peasant #15 [h: 1.21, p: -0.74]
		Peasant Lord Frederick's peasant #18 [h: 1.6, p: 0.09]
		Peasant Lord Frederick's peasant #21 [h: 0.86, p: 1.08]
		Peasant Lord Frederick's peasant #24 [h: 1.34, p: 2.51]
		Peasant Lord Frederick's peasant #27 [h: 1.64, p: 2.89]
☠	Lord Louis [h: 0.0, p: 20.8]
		Knight Marco [h: 3.5, p: 0.99]
		Peasant Lord Louis's peasant #7 [h: 4.16, p: -1.84]
		Peasant Lord Louis's peasant #10 [h: 3.51, p: -0.22]
		Peasant Lord Louis's peasant #13 [h: 1.98, p: 0.59]
		Peasant Lord Louis's peasant #16 [h: 1.98, p: 1.14]
		Peasant Lord Louis's peasant #19 [h: 0.7, p: 2.17]
		Peasant Lord Louis's peasant #22 [h: 1.58, p: 1.82]
		Peasant Lord Louis's peasant #25 [h: 1.16, p: 2.14]
		Peasant Lord Louis's peasant #28 [h: 1.58, p: 2.16]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 8.57, p: 4.1]
		Peasant Wizard Fred's peasant #11 [h: 6.59, p: 5.1]
		Peasant Wizard Fred's peasant #14 [h: 5.07, p: 6.1]
		Peasant Wizard Fred's peasant #17 [h: 3.9, p: 7.1]
		Peasant Wizard Fred's peasant #20 [h: 3.0, p: 8.1]
		Knight Promoted #8 [h: 1.63, p: 3.0]
		Peasant Wizard Fred's peasant #23 [h: 2.31, p: 9.1]
		Knight Promoted #11 [h: 1.34, p: 2.0]
		Peasant Wizard Fred's peasant #26 [h: 1.78, p: 10.1]
		Knight Promoted #14 [h: 0.95, p: 6.0]
		Peasant Wizard Fred's peasant #29 [h: 1.37, p: 11.1]
		Knight Promoted #17 [h: 0.54, p: 6.0]

King Robert [h: 0.55, p: 37.4]
☠	Lord Frederick [h: 0.0, p: 26.23]
		Knight William [h: 2.57, p: -1.62]
		Peasant Lord Frederick's peasant #6 [h: 5.64, p: -2.85]
		Peasant Lord Frederick's peasant #9 [h: 2.0, p: -1.47]
		Peasant Lord Frederick's peasant #12 [h: 3.87, p: -1.94]
		Peasant Lord Frederick's peasant #15 [h: 1.21, p: -0.74]
		Peasant Lord Frederick's peasant #18 [h: 1.6, p: 0.09]
		Peasant Lord Frederick's peasant #21 [h: 0.86, p: 1.08]
		Peasant Lord Frederick's peasant #24 [h: 1.34, p: 2.51]
		Peasant Lord Frederick's peasant #27 [h: 1.64, p: 2.89]
		Peasant Lord Frederick's peasant #30 [h: 0.78, p: 2.2]
☠	Lord Louis [h: 0.0, p: 20.8]
		Knight Marco [h: 3.5, p: 0.99]
		Peasant Lord Louis's peasant #7 [h: 4.16, p: -1.84]
		Peasant Lord Louis's peasant #10 [h: 3.51, p: -0.22]
		Peasant Lord Louis's peasant #13 [h: 1.98, p: 0.59]
		Peasant Lord Louis's peasant #16 [h: 1.98, p: 1.14]
		Peasant Lord Louis's peasant #19 [h: 0.7, p: 2.17]
		Peasant Lord Louis's peasant #22 [h: 1.58, p: 1.82]
		Peasant Lord Louis's peasant #25 [h: 1.16, p: 2.14]
		Peasant Lord Louis's peasant #28 [h: 1.58, p: 2.16]
		Peasant Lord Louis's peasant #31 [h: 1.25, p: 2.4]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 11.14, p: 3.1]
		Peasant Wizard Fred's peasant #11 [h: 8.57, p: 4.1]
		Peasant Wizard Fred's peasant #14 [h: 6.59, p: 5.1]
		Peasant Wizard Fred's peasant #17 [h: 5.07, p: 6.1]
		Peasant Wizard Fred's peasant #20 [h: 3.9, p: 7.1]
		Knight Promoted #8 [h: 2.12, p: 2.0]
		Peasant Wizard Fred's peasant #23 [h: 3.0, p: 8.1]
		Knight Promoted #11 [h: 1.74, p: 1.0]
		Peasant Wizard Fred's peasant #26 [h: 2.31, p: 9.1]
		Knight Promoted #14 [h: 1.23, p: 5.0]
		Peasant Wizard Fred's peasant #29 [h: 1.78, p: 10.1]
		Knight Promoted #17 [h: 0.7, p: 5.0]
		Peasant Wizard Fred's peasant #32 [h: 1.37, p: 11.1]
		Knight Promoted #20 [h: 0.35, p: 5.0]

King Robert [h: 0.55, p: 40.4]
☠	Lord Frederick [h: 0.0, p: 26.23]
		Knight William [h: 2.57, p: -1.62]
		Peasant Lord Frederick's peasant #6 [h: 5.64, p: -2.85]
		Peasant Lord Frederick's peasant #9 [h: 2.0, p: -1.47]
		Peasant Lord Frederick's peasant #12 [h: 3.87, p: -1.94]
		Peasant Lord Frederick's peasant #15 [h: 1.21, p: -0.74]
		Peasant Lord Frederick's peasant #18 [h: 1.6, p: 0.09]
		Peasant Lord Frederick's peasant #21 [h: 0.86, p: 1.08]
		Peasant Lord Frederick's peasant #24 [h: 1.34, p: 2.51]
		Peasant Lord Frederick's peasant #27 [h: 1.64, p: 2.89]
		Peasant Lord Frederick's peasant #30 [h: 0.78, p: 2.2]
		Peasant Lord Frederick's peasant #33 [h: 1.74, p: 1.45]
☠	Lord Louis [h: 0.0, p: 20.8]
		Knight Marco [h: 3.5, p: 0.99]
		Peasant Lord Louis's peasant #7 [h: 4.16, p: -1.84]
		Peasant Lord Louis's peasant #10 [h: 3.51, p: -0.22]
		Peasant Lord Louis's peasant #13 [h: 1.98, p: 0.59]
		Peasant Lord Louis's peasant #16 [h: 1.98, p: 1.14]
		Peasant Lord Louis's peasant #19 [h: 0.7, p: 2.17]
		Peasant Lord Louis's peasant #22 [h: 1.58, p: 1.82]
		Peasant Lord Louis's peasant #25 [h: 1.16, p: 2.14]
		Peasant Lord Louis's peasant #28 [h: 1.58, p: 2.16]
		Peasant Lord Louis's peasant #31 [h: 1.25, p: 2.4]
		Peasant Lord Louis's peasant #34 [h: 1.32, p: 2.73]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 14.48, p: 2.1]
		Peasant Wizard Fred's peasant #11 [h: 11.14, p: 3.1]
		Peasant Wizard Fred's peasant #14 [h: 8.57, p: 4.1]
		Peasant Wizard Fred's peasant #17 [h: 6.59, p: 5.1]
		Peasant Wizard Fred's peasant #20 [h: 5.07, p: 6.1]
		Knight Promoted #8 [h: 2.75, p: 1.0]
		Peasant Wizard Fred's peasant #23 [h: 3.9, p: 7.1]
		Knight Promoted #11 [h: 2.26, p: 0.0]
		Peasant Wizard Fred's peasant #26 [h: 3.0, p: 8.1]
		Knight Promoted #14 [h: 1.6, p: 4.0]
		Peasant Wizard Fred's peasant #29 [h: 2.31, p: 9.1]
		Knight Promoted #17 [h: 0.91, p: 4.0]
		Peasant Wizard Fred's peasant #32 [h: 1.78, p: 10.1]
		Knight Promoted #20 [h: 0.46, p: 4.0]
		Peasant Wizard Fred's peasant #35 [h: 1.37, p: 11.1]
		Knight Promoted #23 [h: 0.35, p: 7.0]

King Robert [h: 0.55, p: 40.4]
☠	Lord Frederick [h: 0.0, p: 26.23]
☠		Knight William [h: 0.0, p: -1.62]
		Peasant Lord Frederick's peasant #6 [h: 5.64, p: -2.85]
		Peasant Lord Frederick's peasant #9 [h: 2.0, p: -1.47]
		Peasant Lord Frederick's peasant #12 [h: 3.87, p: -1.94]
		Peasant Lord Frederick's peasant #15 [h: 1.21, p: -0.74]
		Peasant Lord Frederick's peasant #18 [h: 1.6, p: 0.09]
		Peasant Lord Frederick's peasant #21 [h: 0.86, p: 1.08]
		Peasant Lord Frederick's peasant #24 [h: 1.34, p: 2.51]
		Peasant Lord Frederick's peasant #27 [h: 1.64, p: 2.89]
		Peasant Lord Frederick's peasant #30 [h: 0.78, p: 2.2]
		Peasant Lord Frederick's peasant #33 [h: 1.74, p: 1.45]
☠	Lord Louis [h: 0.0, p: 20.8]
☠		Knight Marco [h: 0.0, p: 0.99]
		Peasant Lord Louis's peasant #7 [h: 4.16, p: -1.84]
		Peasant Lord Louis's peasant #10 [h: 3.51, p: -0.22]
		Peasant Lord Louis's peasant #13 [h: 1.98, p: 0.59]
		Peasant Lord Louis's peasant #16 [h: 1.98, p: 1.14]
		Peasant Lord Louis's peasant #19 [h: 0.7, p: 2.17]
		Peasant Lord Louis's peasant #22 [h: 1.58, p: 1.82]
		Peasant Lord Louis's peasant #25 [h: 1.16, p: 2.14]
		Peasant Lord Louis's peasant #28 [h: 1.58, p: 2.16]
		Peasant Lord Louis's peasant #31 [h: 1.25, p: 2.4]
		Peasant Lord Louis's peasant #34 [h: 1.32, p: 2.73]
	Wizard Fred [h: 1.47, p: 10.1]
		Peasant Wizard Fred's peasant #8 [h: 14.48, p: 2.1]
		Peasant Wizard Fred's peasant #11 [h: 11.14, p: 3.1]
		Peasant Wizard Fred's peasant #14 [h: 8.57, p: 4.1]
		Peasant Wizard Fred's peasant #17 [h: 6.59, p: 5.1]
		Peasant Wizard Fred's peasant #20 [h: 5.07, p: 6.1]
☠		Knight Promoted #8 [h: 0.0, p: 1.0]
		Peasant Wizard Fred's peasant #23 [h: 3.9, p: 7.1]
☠		Knight Promoted #11 [h: 0.0, p: 0.0]
		Peasant Wizard Fred's peasant #26 [h: 3.0, p: 8.1]
☠		Knight Promoted #14 [h: 0.0, p: 3.19]
		Peasant Wizard Fred's peasant #29 [h: 2.31, p: 9.1]
		Knight Promoted #17 [h: 0.2, p: 11.09]
		Peasant Wizard Fred's peasant #32 [h: 1.78, p: 10.1]
☠		Knight Promoted #20 [h: 0.0, p: 4.0]
		Peasant Wizard Fred's peasant #35 [h: 1.37, p: 11.1]
☠		Knight Promoted #23 [h: 0.0, p: 9.0]


